benchmark,formula_count,avg_length,avg_operator_count,avg_atomic_props,avg_nesting_depth,avg_temporal_ops,avg_automaton_states,avg_structural_complexity,avg_temporal_complexity,avg_automaton_complexity,avg_overall_complexity,max_overall_complexity,complexity_variance,total_time,time_per_formula,equivalence_class_time,containment_analysis_time
bakery.3_000,9,57.333333333333336,5.333333333333333,2.5555555555555554,3.3333333333333335,0.0,2.0,28.95555555555556,0.0,2.3555555555555556,9.393333333333333,14.82,7.09068888888889,0.0,0.0,0.0,0.0
bakery.4_000,9,57.333333333333336,5.333333333333333,2.5555555555555554,3.3333333333333335,0.0,2.0,28.95555555555556,0.0,2.3555555555555556,9.393333333333333,14.82,7.090688888888889,0.0,0.0,0.0,0.0
bakery.5_000,9,71.33333333333333,7.111111111111111,2.888888888888889,3.3333333333333335,0.0,2.0,34.24444444444444,0.0,2.3555555555555556,10.98,25.200000000000003,29.51440000000001,0.0,0.0,0.0,0.0
bakery.6_000,9,71.33333333333333,7.111111111111111,2.888888888888889,3.3333333333333335,0.0,2.0,34.24444444444444,0.0,2.3555555555555556,10.98,25.200000000000003,29.514400000000006,0.0,0.0,0.0,0.0
bakery.7_000,9,71.33333333333333,7.111111111111111,2.888888888888889,3.3333333333333335,0.0,2.0,34.24444444444444,0.0,2.3555555555555556,10.979999999999999,25.200000000000003,29.51440000000001,0.0,0.0,0.0,0.0
bakery.8_000,9,88.88888888888889,9.333333333333334,3.2222222222222223,3.3333333333333335,0.0,2.0,40.77777777777778,0.0,2.3555555555555556,12.940000000000001,38.94,90.8346,0.0,0.0,0.0,0.0
bopdp.1_000,8,131.25,10.5,3.0,5.25,1.0,2.5,52.875,14.5,3.0250000000000004,22.569999999999997,28.9,15.174899999999994,0.0,0.0,0.0,0.0
bopdp.2_000,8,131.25,10.5,3.0,5.25,1.0,2.5,52.875,14.5,3.0250000000000004,22.569999999999997,28.9,15.174899999999994,0.0,0.0,0.0,0.0
bopdp.3_000,8,131.25,10.5,3.0,5.25,1.0,2.5,52.875,14.5,3.0250000000000004,22.57,28.9,15.174899999999994,0.0,0.0,0.0,0.0
bridge.3_000,429,192.33100233100234,12.57109557109557,4.841491841491841,4.944055944055944,4.123543123543124,11.013986013986013,64.04895104895105,46.481351981351985,14.988111888111888,42.30365967365967,142.35,404.25601014991236,0.0,0.0,0.0,0.0
brp.1_000,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.3499999999999996,7.23,7.56,0.10889999999999975,0.0,0.0,0.0,0.0
brp.2_000,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.3499999999999996,7.2299999999999995,7.56,0.10889999999999975,0.0,0.0,0.0,0.0
brp.3_000,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.3499999999999996,7.23,7.56,0.10889999999999976,0.0,0.0,0.0,0.0
brp.4_000,60,185.45,12.516666666666667,4.383333333333334,4.683333333333334,4.516666666666667,9.15,62.01166666666666,49.68333333333333,12.57333333333333,42.24883333333334,90.23,341.1403803055556,0.0,0.0,0.0,0.0
brp.4_001,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.3499999999999996,7.23,7.56,0.10889999999999976,0.0,0.0,0.0,0.0
brp.5_000,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.35,7.2299999999999995,7.56,0.10889999999999976,0.0,0.0,0.0,0.0
brp.6_000,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.35,7.2299999999999995,7.56,0.10889999999999976,0.0,0.0,0.0,0.0
collision.4_000,27,158.44444444444446,11.592592592592593,4.962962962962963,4.777777777777778,2.7777777777777777,13.0,58.32592592592592,33.129629629629626,18.537037037037038,36.31074074074074,67.01,186.99037722908093,0.0,0.0,0.0,0.0
cyclic_scheduler.3_000,356,220.0308988764045,13.01123595505618,5.171348314606742,4.870786516853933,4.311797752808989,11.775280898876405,67.80926966292134,46.938202247191015,16.622191011235955,44.10471910112359,145.76999999999998,466.1641833480621,0.0,0.0,0.0,0.0
driving_phils.1_000,4,41.5,3.0,1.0,2.5,0.0,1.5,18.65,0.0,1.75,6.12,7.41,1.3220999999999998,0.0,0.0,0.0,0.0
driving_phils.2_000,4,41.5,3.0,1.0,2.5,0.0,1.5,18.650000000000002,0.0,1.75,6.12,7.41,1.3220999999999998,0.0,0.0,0.0,0.0
driving_phils.3_000,2,41.0,2.5,1.0,2.5,0.0,2.0,17.6,0.0,2.3,5.97,7.109999999999999,1.2995999999999992,0.0,0.0,0.0,0.0
driving_phils.4_000,4,41.5,3.0,1.0,2.5,0.0,1.5,18.65,0.0,1.75,6.12,7.41,1.3220999999999998,0.0,0.0,0.0,0.0
driving_phils.5_000,2,41.0,2.5,1.0,2.5,0.0,2.0,17.6,0.0,2.3,5.97,7.109999999999999,1.2995999999999992,0.0,0.0,0.0,0.0
elevator.1_000,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.3499999999999996,7.229999999999999,7.619999999999999,0.1125,0.0,0.0,0.0,0.0
elevator.2_000,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.3499999999999996,7.2299999999999995,7.619999999999999,0.1125,0.0,0.0,0.0,0.0
elevator.3_000,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.3499999999999996,7.2299999999999995,7.619999999999999,0.1125,0.0,0.0,0.0,0.0
elevator.4_000,521,180.15930902111324,11.644913627639156,4.174664107485604,4.589251439539347,3.7600767754318616,9.884836852207293,59.24817658349329,39.741842610364685,13.585604606525912,37.74687140115163,175.04999999999998,385.1769332061112,0.0,0.0,0.0,0.0
elevator.4_001,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.3499999999999996,7.2299999999999995,7.619999999999999,0.1125,0.0,0.0,0.0,0.0
elevator.5_000,4,57.5,2.5,2.0,3.0,0.0,2.0,21.75,0.0,2.3499999999999996,7.2299999999999995,7.619999999999999,0.11250000000000002,0.0,0.0,0.0,0.0
